Course,Credits,CountedGrades,Type,,
ARAB 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BCOM 300,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BIO201 (Previously BIO or CHEM),3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL 202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CMPS 202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
COMM 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL 202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PSYCH 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
STAT 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 204,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 205N,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 206N,4,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 207,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 208,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 209,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 210,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 211,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 212,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 217,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 219,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 224,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 225,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 226,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 227,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 228,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 229N,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 230,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SPTH 231,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
