Course,Credits,Tyoe
ACCT201,3,Required
ARAB201,3,Required
BCOM300,0,Required
BIOL201,3,Required
CHEM201,3,Required
CHEM202,2,Required
CHEM209,3,Required
CHEM210,1,Required
CIVL201,3,Required
CIVL202,3,Required
CMPS202,3,Required
COMM201,3,Required
COMM214,3,Required
ENGL201,3,Required
ENGL202,3,Required
F.E.C.,3,Required
MNGT201,3,Required
INFO404*,3,Required
PBHL201,3,Required
PBHL202,3,Required
PBHL203,3,Required
PBHL204,3,Required
PBHL205,3,Required
PBHL206,3,Required
PBHL207,3,Required
PBHL208,3,Required
PBHL211,3,Required
PBHL212,3,Required
PBHL213,3,Required
PBHL220,3,Required
PBHL270,0,Required
PBHL280,2,Required
PBHL281,1,Required
PBHL282,2,Required
S.C.E.,3,Required
SOCL210,3,Required
STAT201,3,Required
